text,label
Lägg till fotboll för Robin imorgon,1
Schemalägg möte för Mamma på fredag,1
Lägg in träning för Colin klockan 18,1
Skapa en aktivitet för Pappa imorgon,1
Kom ihåg att lägga till städning för Mio på lördag,1
Boka in bio för Mika nästa onsdag,1
Kan du lägga till tvättstuga för Mamma,1
Lägg till läxor för Robin,1
Påminn mig om att lägga in match för Colin,1
Skriv in middag för Pappa ikväll,1
Vad blir det för väder imorgon?,0
Vilka sopor ska ut idag?,0
Vilken färg har plast-soporna?,0
Spela upp en låt,0
Stäng av alarmet,0
Ta bort fotbollen för Robin,0
Radera Mammas möte,0
Vad är klockan?,0
Kan du berätta ett skämt?,0
Hur många grader är det utomhus?,0
